resource,type,facetid,keyname
http://dbpedia.org/ontology/regionServed,2,1,http://dbpedia.org/ontology/regionServed
http://dbpedia.org/ontology/locationCountry,2,2,http://dbpedia.org/ontology/locationCountry
http://xmlns.com/foaf/0.1/homepage,2,3,http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/ontology/foundationPlace,2,4,http://dbpedia.org/ontology/foundationPlace
http://dbpedia.org/ontology/locationCity,2,5,http://dbpedia.org/ontology/locationCity
http://dbpedia.org/ontology/parentCompany,2,6,http://dbpedia.org/ontology/parentCompany
http://dbpedia.org/ontology/type,2,7,http://dbpedia.org/ontology/type
http://dbpedia.org/ontology/industry,2,8,http://dbpedia.org/ontology/industry
http://dbpedia.org/ontology/product,2,9,http://dbpedia.org/ontology/product
http://dbpedia.org/ontology/location,2,10,http://dbpedia.org/ontology/location
http://dbpedia.org/ontology/keyPerson,2,11,http://dbpedia.org/ontology/keyPerson
http://dbpedia.org/ontology/successor,1,12,http://dbpedia.org/ontology/successor
http://dbpedia.org/ontology/foundedBy,2,13,http://dbpedia.org/ontology/foundedBy
http://dbpedia.org/ontology/service,2,14,http://dbpedia.org/ontology/service
http://dbpedia.org/ontology/owner,2,15,http://dbpedia.org/ontology/owner
http://dbpedia.org/ontology/owningCompany,2,16,http://dbpedia.org/ontology/owningCompany
http://dbpedia.org/ontology/genre,2,17,http://dbpedia.org/ontology/genre
http://xmlns.com/foaf/0.1/depiction,4,18,http://xmlns.com/foaf/0.1/depiction
http://dbpedia.org/ontology/country,3,19,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/subsidiary,2,20,http://dbpedia.org/ontology/subsidiary
http://www.w3.org/2002/07/owl#differentFrom,1,21,http://www.w3.org/2002/07/owl#differentFrom
http://dbpedia.org/ontology/division,2,22,http://dbpedia.org/ontology/division
http://dbpedia.org/ontology/predecessor,1,23,http://dbpedia.org/ontology/predecessor
http://www.w3.org/2000/01/rdf-schema#seeAlso,1,24,http://www.w3.org/2000/01/rdf-schema#seeAlso
http://dbpedia.org/ontology/language,5,25,http://dbpedia.org/ontology/language
